0 6 12
0 2 3
0 3 8
0 10 0
0 12 2
0 5 1
0 15 6
0 0 13
0 9 9
0 7 5
0 13 15
0 4 14
0 14 7
0 1 11
0 11 10
0 8 4
1 8 9
1 11 10
1 3 2
1 1 8
1 5 13
1 14 0
1 2 12
1 4 6
1 12 5
1 9 14
1 7 7
1 6 1
1 13 15
1 10 4
1 0 11
1 15 3
2 7 9
2 12 8
2 13 11
2 10 12
2 14 1
2 9 15
2 5 4
2 1 10
2 4 7
2 15 0
2 2 14
2 3 13
2 0 6
2 11 3
2 6 2
2 8 5
3 15 9
3 6 7
3 10 14
3 9 15
3 5 13
3 12 10
3 2 11
3 7 8
3 8 6
3 11 1
3 14 3
3 1 5
3 4 4
3 3 12
3 0 2
3 13 0
4 10 5
4 11 11
4 8 3
4 13 0
4 5 4
4 7 8
4 9 7
4 15 14
4 14 15
4 1 12
4 0 10
4 2 6
4 3 2
4 6 9
4 12 13
4 4 1
5 6 3
5 13 8
5 1 9
5 8 7
5 5 0
5 10 12
5 4 2
5 14 10
5 3 11
5 15 5
5 7 15
5 2 1
5 11 13
5 12 14
5 9 6
5 0 4
6 8 7
6 9 15
6 12 0
6 4 13
6 13 5
6 5 14
6 1 4
6 15 10
6 10 2
6 11 1
6 14 6
6 2 3
6 6 8
6 0 9
6 3 12
6 7 11
7 6 9
7 15 15
7 1 12
7 8 10
7 7 8
7 11 1
7 13 7
7 14 3
7 2 2
7 10 6
7 5 11
7 9 13
7 0 5
7 4 4
7 3 14
7 12 0
8 14 0
8 6 1
8 0 7
8 12 2
8 13 4
8 10 15
8 4 13
8 7 11
8 8 3
8 3 10
8 1 14
8 9 9
8 15 12
8 11 5
8 5 6
8 2 8
9 9 9
9 5 4
9 0 10
9 3 1
9 7 5
9 8 14
9 11 7
9 2 15
9 13 13
9 4 11
9 10 6
9 12 0
9 14 12
9 15 8
9 6 3
9 1 2
10 15 4
10 3 11
10 4 5
10 9 0
10 8 3
10 1 10
10 14 1
10 6 6
10 12 2
10 7 15
10 10 9
10 13 7
10 0 12
10 5 14
10 2 13
10 11 8
11 12 5
11 3 4
11 13 1
11 8 8
11 4 9
11 1 0
11 14 2
11 15 13
11 9 6
11 7 7
11 2 12
11 11 10
11 0 15
11 6 11
11 5 14
11 10 3
12 15 0
12 7 10
12 5 6
12 11 1
12 12 11
12 0 4
12 6 8
12 10 14
12 8 9
12 4 7
12 13 2
12 3 5
12 1 13
12 9 12
12 2 3
12 14 15
13 14 4
13 15 0
13 3 1
13 8 13
13 9 7
13 4 8
13 2 14
13 12 2
13 13 9
13 10 15
13 0 5
13 5 10
13 11 11
13 7 12
13 6 6
13 1 3
14 9 12
14 8 15
14 11 14
14 2 8
14 0 2
14 4 11
14 12 7
14 13 3
14 1 1
14 10 6
14 5 5
14 6 4
14 7 13
14 15 0
14 3 10
14 14 9
15 14 10
15 8 9
15 1 12
15 9 3
15 13 1
15 7 13
15 2 14
15 4 7
15 0 2
15 15 15
